[german-vpd] rank0 sweep 15232/61760 (2777s, 123,326,368 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15296/61760 (2788s, 123,844,512 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15360/61760 (2799s, 124,362,656 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15424/61760 (2811s, 124,880,800 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15488/61760 (2822s, 125,398,944 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15552/61760 (2834s, 125,917,088 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15616/61760 (2845s, 126,435,232 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15680/61760 (2857s, 126,953,376 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15744/61760 (2868s, 127,471,520 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15808/61760 (2880s, 127,989,664 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15872/61760 (2891s, 128,507,808 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 15936/61760 (2903s, 129,025,952 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 16000/61760 (2914s, 129,544,096 positions, 44.4k pos/s)
[german-vpd] rank0 sweep 16064/61760 (2926s, 130,062,240 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16128/61760 (2938s, 130,580,384 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16192/61760 (2949s, 131,098,528 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16256/61760 (2960s, 131,616,672 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16320/61760 (2972s, 132,134,816 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16384/61760 (2983s, 132,652,960 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16448/61760 (2995s, 133,171,104 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16512/61760 (3006s, 133,689,248 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16576/61760 (3018s, 134,207,392 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16640/61760 (3029s, 134,725,536 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16704/61760 (3041s, 135,243,680 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16768/61760 (3052s, 135,761,824 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16832/61760 (3064s, 136,279,968 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16896/61760 (3075s, 136,798,112 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 16960/61760 (3087s, 137,316,256 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17024/61760 (3098s, 137,834,400 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17088/61760 (3110s, 138,352,544 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17152/61760 (3121s, 138,870,688 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17216/61760 (3133s, 139,388,832 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17280/61760 (3145s, 139,906,976 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17344/61760 (3156s, 140,425,120 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17408/61760 (3168s, 140,943,264 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17472/61760 (3179s, 141,461,408 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17536/61760 (3191s, 141,979,552 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17600/61760 (3202s, 142,497,696 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17664/61760 (3214s, 143,015,840 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17728/61760 (3225s, 143,533,984 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17792/61760 (3237s, 144,052,128 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17856/61760 (3248s, 144,570,272 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17920/61760 (3260s, 145,088,416 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 17984/61760 (3271s, 145,606,560 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18048/61760 (3283s, 146,124,704 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18112/61760 (3294s, 146,642,848 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18176/61760 (3306s, 147,160,992 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18240/61760 (3317s, 147,679,136 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18304/61760 (3328s, 148,197,280 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18368/61760 (3340s, 148,715,424 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18432/61760 (3351s, 149,233,568 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18496/61760 (3363s, 149,751,712 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18560/61760 (3374s, 150,269,856 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18624/61760 (3386s, 150,788,000 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18688/61760 (3398s, 151,306,144 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18752/61760 (3409s, 151,824,288 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18816/61760 (3421s, 152,342,432 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18880/61760 (3432s, 152,860,576 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 18944/61760 (3443s, 153,378,720 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 19008/61760 (3455s, 153,896,864 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 19072/61760 (3466s, 154,415,008 positions, 44.5k pos/s)
[german-vpd] rank0 sweep 19136/61760 (3478s, 154,933,152 positions, 44.5k pos/s)
